Game ID,Rental Date,Return Date,Rented Customer ID
val03,01/07/2021,05/07/2021,coai
sekiro03,10/07/2021,14/07/2021,ijkl
val02,19/07/2021,23/07/2021,abcd
tlou01,28/07/2021,01/08/2021,coai
sekiro01,06/08/2021,10/08/2021,efgh
bloodb02,15/08/2021,19/08/2021,coai
gow01,24/08/2021,28/08/2021,ijkl
sekiro04,02/09/2021,06/09/2021,mnop
lol02,11/09/2021,15/09/2021,efgh
tlou02,20/09/2021,24/09/2021,coai
lol03,29/09/2021,03/10/2021,mnop
ds02,08/10/2021,12/10/2021,abcd
sekiro02,17/10/2021,21/10/2021,ijkl
bloodb01,26/10/2021,30/10/2021,coai
val01,04/11/2021,08/11/2021,efgh
lol01,13/11/2021,17/11/2021,abcd
gow02,22/11/2021,26/11/2021,coai
sekiro03,01/12/2021,05/12/2021,mnop
ds01,10/12/2021,14/12/2021,ijkl
val03,19/12/2021,23/12/2021,coai
tlou01,28/12/2021,01/01/2022,efgh
sekiro04,06/01/2022,10/01/2022,mnop
tlou02,15/01/2022,19/01/2022,coai
val02,24/01/2022,28/01/2022,ijkl
lol02,02/02/2022,06/02/2022,abcd
sekiro01,11/02/2022,15/02/2022,coai
sekiro02,20/02/2022,24/02/2022,mnop
bloodb01,01/03/2022,05/03/2022,coai
val03,10/03/2022,14/03/2022,efgh
sekiro03,19/03/2022,23/03/2022,ijkl
bloodb02,28/03/2022,01/04/2022,coai
lol03,06/04/2022,10/04/2022,mnop
tlou02,15/04/2022,19/04/2022,coai
ds02,24/04/2022,28/04/2022,efgh
gow02,03/05/2022,07/05/2022,abcd
sekiro04,12/05/2022,16/05/2022,coai
val01,21/05/2022,25/05/2022,ijkl
sekiro01,30/05/2022,03/06/2022,coai
sekiro02,08/06/2022,12/06/2022,mnop
bloodb01,17/06/2022,21/06/2022,coai
val02,26/06/2022,30/06/2022,efgh
lol01,05/07/2022,09/07/2022,abcd
tlou01,14/07/2022,18/07/2022,coai
lol02,23/07/2022,27/07/2022,ijkl
sekiro03,01/08/2022,05/08/2022,mnop
val03,10/08/2022,14/08/2022,coai
sekiro04,19/08/2022,23/08/2022,efgh
bloodb02,28/08/2022,01/09/2022,coai
tlou02,06/09/2022,10/09/2022,ijkl
val01,15/09/2022,19/09/2022,coai
lol03,24/09/2022,28/09/2022,mnop
ds02,03/10/2022,07/10/2022,coai
sekiro01,12/10/2022,16/10/2022,efgh
sekiro02,21/10/2022,25/10/2022,coai
bloodb01,30/10/2022,03/11/2022,ijkl
val02,08/11/2022,12/11/2022,coai
gow02,17/11/2022,21/11/2022,abcd
sekiro03,26/11/2022,30/11/2022,coai
ds01,05/12/2022,09/12/2022,efgh
val03,14/12/2022,18/12/2022,coai
tlou01,23/12/2022,27/12/2022,ijkl
sekiro04,01/01/2023,05/01/2023,mnop
tlou02,10/01/2023,14/01/2023,coai
val02,19/01/2023,23/01/2023,ijkl
lol02,28/01/2023,01/02/2023,abcd
sekiro01,06/02/2023,10/02/2023,coai
sekiro02,15/02/2023,19/02/2023,mnop
bloodb02,24/02/2023,28/02/2023,coai
lol03,05/03/2023,09/03/2023,mnop
tlou02,14/03/2023,18/03/2023,coai
ds02,23/03/2023,27/03/2023,efgh
gow02,01/04/2023,05/04/2023,abcd
sekiro03,10/04/2023,14/04/2023,coai
val01,19/04/2023,23/04/2023,ijkl
sekiro04,28/04/2023,02/05/2023,mnop
cod01,01/05/2023,03/05/2023,abcd
sekiro03,01/05/2023,04/05/2023,mnop
val02,02/05/2023,05/05/2023,coai
tlou01,02/05/2023,06/05/2023,ijkl
sekiro01,03/05/2023,07/05/2023,efgh
bloodb02,03/05/2023,08/05/2023,mnop
gow01,04/05/2023,09/05/2023,coai
sekiro04,04/05/2023,10/05/2023,abcd
lol02,05/05/2023,11/05/2023,ijkl
tlou02,05/05/2023,12/05/2023,mnop
lol03,06/05/2023,13/05/2023,coai
ds02,06/05/2023,14/05/2023,efgh
sekiro02,07/05/2023,15/05/2023,ijkl
bloodb01,07/05/2023,16/05/2023,mnop
val01,08/05/2023,17/05/2023,coai
lol01,08/05/2023,18/05/2023,abcd
gow02,09/05/2023,19/05/2023,ijkl
sekiro03,09/05/2023,20/05/2023,mnop
ds01,10/05/2023,21/05/2023,coai
val03,10/05/2023,22/05/2023,efgh
tlou01,11/05/2023,23/05/2023,ijkl
sekiro04,11/05/2023,24/05/2023,abcd
tlou02,12/05/2023,25/05/2023,coai
val02,12/05/2023,26/05/2023,mnop
lol02,13/05/2023,27/05/2023,efgh
sekiro01,13/05/2023,28/05/2023,ijkl
sekiro02,14/05/2023,29/05/2023,mnop
bloodb01,14/05/2023,30/05/2023,coai
val03,15/05/2023,31/05/2023,abcd
sekiro03,15/05/2023,01/06/2023,mnop
bloodb02,16/05/2023,02/06/2023,coai
lol03,16/05/2023,03/06/2023,efgh
tlou02,17/05/2023,04/06/2023,ijkl
ds02,17/05/2023,05/06/2023,mnop
gow02,18/05/2023,06/06/2023,coai
sekiro04,18/05/2023,07/06/2023,abcd
val01,19/05/2023,08/06/2023,ijkl
sekiro01,19/05/2023,09/06/2023,coai
cod02,20/05/2023,10/06/2023,mnop
fifa03,20/05/2023,11/06/2023,coai
elden01,21/05/2023,12/06/2023,abcd
sekiro02,21/05/2023,13/06/2023,mnop
ds01,22/05/2023,14/06/2023,coai
val03,22/05/2023,15/06/2023,ijkl
sekiro03,23/05/2023,16/06/2023,mnop
tlou01,23/05/2023,17/06/2023,abcd
sekiro04,24/05/2023,18/06/2023,mnop
tlou02,24/05/2023,19/06/2023,coai
val02,25/05/2023,20/06/2023,ijkl
lol02,25/05/2023,21/06/2023,coai
